city,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,city_bi,street_t
SACRAMENTO,2,1,836,Residential,Wed May 21 00:00:00 EDT 2008,59222,38.631913,-121.434879,SACRAMENTO,ST
SACRAMENTO,3,1,1167,Residential,Wed May 21 00:00:00 EDT 2008,68212,38.478902,-121.431028,SACRAMENTO,CT
SACRAMENTO,2,1,796,Residential,Wed May 21 00:00:00 EDT 2008,68880,38.618305,-121.443839,SACRAMENTO,ST
SACRAMENTO,2,1,852,Residential,Wed May 21 00:00:00 EDT 2008,69307,38.616835,-121.439146,SACRAMENTO,WAY
SACRAMENTO,2,1,797,Residential,Wed May 21 00:00:00 EDT 2008,81900,38.51947,-121.435768,SACRAMENTO,DR
SACRAMENTO,3,1,1122,Condo,Wed May 21 00:00:00 EDT 2008,89921,38.662595,-121.327813,SACRAMENTO,CT
SACRAMENTO,3,2,1104,Residential,Wed May 21 00:00:00 EDT 2008,90895,38.681659,-121.351705,SACRAMENTO,WAY
SACRAMENTO,3,1,1177,Residential,Wed May 21 00:00:00 EDT 2008,91002,38.535092,-121.481367,SACRAMENTO,AVE
RANCHO CORDOVA,2,2,941,Condo,Wed May 21 00:00:00 EDT 2008,94905,38.621188,-121.270555,others,DR
RIO LINDA,3,2,1146,Residential,Wed May 21 00:00:00 EDT 2008,98937,38.700909,-121.442979,others,ST
SACRAMENTO,3,2,909,Residential,Wed May 21 00:00:00 EDT 2008,100309,38.637663,-121.45152,SACRAMENTO,AVE
SACRAMENTO,3,2,1289,Residential,Wed May 21 00:00:00 EDT 2008,106250,38.470746,-121.458918,SACRAMENTO,CIR
SACRAMENTO,1,1,871,Residential,Wed May 21 00:00:00 EDT 2008,106852,38.618698,-121.435833,SACRAMENTO,RD
SACRAMENTO,3,1,1020,Residential,Wed May 21 00:00:00 EDT 2008,107502,38.482215,-121.492603,SACRAMENTO,WAY
SACRAMENTO,2,2,1022,Residential,Wed May 21 00:00:00 EDT 2008,108750,38.672914,-121.35934,SACRAMENTO,WAY
SACRAMENTO,2,2,1134,Condo,Wed May 21 00:00:00 EDT 2008,110700,38.700051,-121.351278,SACRAMENTO,PL
RIO LINDA,2,1,844,Residential,Wed May 21 00:00:00 EDT 2008,113263,38.689591,-121.452239,others,ST
CITRUS HEIGHTS,2,1,795,Condo,Wed May 21 00:00:00 EDT 2008,116250,38.679776,-121.314089,others,DR
SACRAMENTO,2,1,588,Residential,Wed May 21 00:00:00 EDT 2008,120000,38.612099,-121.469095,SACRAMENTO,AVE
RIO LINDA,3,2,1356,Residential,Wed May 21 00:00:00 EDT 2008,121630,38.689999,-121.46322,others,AVE
CITRUS HEIGHTS,3,2,1118,Residential,Wed May 21 00:00:00 EDT 2008,122000,38.707851,-121.320707,others,AVE
SACRAMENTO,4,2,1329,Residential,Wed May 21 00:00:00 EDT 2008,122682,38.468173,-121.444071,SACRAMENTO,WAY
NORTH HIGHLANDS,4,2,1240,Residential,Wed May 21 00:00:00 EDT 2008,123000,38.702792,-121.38221,others,CT
SACRAMENTO,3,2,1601,Residential,Wed May 21 00:00:00 EDT 2008,124100,38.628631,-121.488097,SACRAMENTO,CT
NORTH HIGHLANDS,3,2,901,Residential,Wed May 21 00:00:00 EDT 2008,125000,38.701499,-121.37622,others,DR
ANTELOPE,3,2,1088,Residential,Wed May 21 00:00:00 EDT 2008,126640,38.70974,-121.37377,others,WAY
SACRAMENTO,3,1,963,Residential,Wed May 21 00:00:00 EDT 2008,127281,38.537526,-121.478315,SACRAMENTO,WAY
SACRAMENTO,3,2,1119,Residential,Wed May 21 00:00:00 EDT 2008,129000,38.476472,-121.501711,SACRAMENTO,AVE
SACRAMENTO,4,2,1380,Residential,Wed May 21 00:00:00 EDT 2008,131200,38.558423,-121.327948,SACRAMENTO,WAY
SACRAMENTO,3,2,1248,Residential,Wed May 21 00:00:00 EDT 2008,132000,38.472122,-121.404199,SACRAMENTO,CIR
ELK GROVE,2,2,1039,Condo,Wed May 21 00:00:00 EDT 2008,133000,38.423251,-121.444489,others,DR
NORTH HIGHLANDS,3,2,1152,Residential,Wed May 21 00:00:00 EDT 2008,134555,38.691161,-121.37192,others,DR
SACRAMENTO,3,2,1380,Residential,Wed May 21 00:00:00 EDT 2008,136500,38.566663,-121.332644,SACRAMENTO,DR
ELVERTA,3,2,1116,Residential,Wed May 21 00:00:00 EDT 2008,138750,38.713182,-121.411227,others,WAY
ELK GROVE,2,2,1039,Condo,Wed May 21 00:00:00 EDT 2008,141000,38.423251,-121.444489,others,DR
